DetailedPOS_N-Gram,Frequency
CCT JJN_CCP NNC_PMP,19
CCT JJD_CCP DTCP NNC,19
CCB NNP CCP VBOF,19
NNP NNP LM VBTS PMS NNC,19
VBOF CCB PRI_CCP,19
JJD CCT PRI_CCP,19
CCB NNC CCT PRI_CCP NNC,19
CDB CCP NNC LM,19
DTC JJD_CCP DTCP NNC,19
LM RBD_CCP VBTF,19
PMS NNC CCB NNPA,19
CCB CDB NNC_CCP NNC,19
JJD CCT NNC_PMP,19
VBTS CCB NNP NNP DTC,19
CCP VBTS CCB DTCP NNC,19
VBTS CCP VBOF DTC,19
CCT NNC_CCP PRO LM,19
PRS LM VBTS CCP,19
DTP NNP NNP NNP LM VBTS,19
CCP VBTR_VBAF CCT NNC,19
DTC DTCP NNC CCB DTCP NNC,19
VBTS DTC PRSP_CCP NNC CCT,19
NNP NNP LM VBOF DTC,19
CCP DTC NNPA LM,19
PMS_ DTC NNC LM,19
NNC_CCP VBAF CCT,19
NNC CCB FW_PMC,19
JJD CCP DTCP NNC CCT,19
CCB JJD_CCP NNP,19
DTCP JJD CCP NNC LM,19
VBN_CCP NNC_PMP,19
CCT PRSP_CCP NNC CCT NNP,19
VBTR_CCP DTC NNC,19
VBTS CCB JJN CCP,19
PRS LM RBD_CCP,19
DTCP NNC CCP PRO LM,19
PRO LM VBTF CCT,19
CCB DTC PRSP_CCP,19
NNC CCB NNP CCB NNP LM,19
JJN CCP NNC_PMP,19
CCP VBW PMS NNC,19
VBTS CCT NNP CCB NNP,19
DTCP NNC CCA NNC CCT,19
CCB PRI CCT DTCP,19
NNC_CCP NNC CCB DTCP,19
CCB NNC CCP DTP NNP NNP LM,19
CCB NNC_CCP PMS,19
CCB NNP CCP DTP NNP NNP_PMP,19
VBTS RBW_CCP NNP CCB,19
CCP NNC CCT JJD_CCP,19
VBTR CCB DTCP NNC CCT,19
JJD CCT NNP_PMC,19
VBW CCB NNC CCT NNC,19
NNP CCB NNP NNP CCP DTP NNP,19
CCB NNC LM RBM,19
CCB NNC CCP VBTR CCT,19
JJD PMS NNP CCP,19
CCT VBW CCB DTCP,19
LM VBTS DTC DTCP,19
CCB NNC CCP VBTR_VBAF,19
DTCP NNC CCP VBTS CCB,19
CCB NNP CCP VBW,19
NNC CCP PRS LM,19
NNC DTC VBTR CCT,19
DTC NNC CCB NNC CCT NNP,19
DTC NNP LM RBF,19
NNC_CCP CDB_PMP,19
DTCP NNC RBK RBQ,19
NNC CCB NNC CCT NNP_PMP,19
NNP CCA VBTS CCB,19
VBTF DTC NNC CCB,19
CCP NNC CCT NNC_PMC,19
CCT PRI_CCP NNC LM,19
CCB NNC RBL CCT DTCP,19
NNC LM VBOF CCB,19
NNP NNP LM VBTS RBI,19
DTP NNP NNP LM VBAF CCT,19
PMS NNC CCB NNP NNP,19
CCB NNPA CCT NNP,19
CCT CCT DTCP NNC CCP,19
DTC DTCP JJD_CCP NNC CCB,19
VBTS DTC NNP CCT,19
VBTS PMS NNC CCP DTC,19
JJD_CCP NNC CCT NNC CCB NNC,19
NNC CCB NNC CCA DTC,19
NNP RBL CCT NNC CCB,19
CDB CCP DTCP NNC CCT,19
NNC CCB PRSP_CCP NNC_PMP,19
CCP VBOF DTC NNP,19
DTC DTCP NNC LM VBTS CCT,19
DTCP NNC DTC VBTS CCT,19
JJD_CCP NNC CCT NNC_PMP,19
RBQ DTC NNC LM,19
VBTR CCP DTC NNC LM,19
RBK RBQ DTC NNC LM,19
NNP_CCP NNP CCB NNP_PMC,19
NNC LM VBTS CCB NNC CCT,19
CCB NNPA DTC NNC,19
NNC DTP NNP LM VBTS,19
CCP DTP NNP NNP LM VBAF,19
DTCP NNC CCB DTCP NNC_CCP,19
CCT NNP_PMS NNCA,19
CDB PMS NNC_CCP PMS NNC CCP,19
CCT NNP_CCP NNP CCB NNP,19
CCB NNC DTP NNP NNP,19
VBTR CCT NNC CCB NNC,19
CCT CCT DTCP NNC_CCP,19
VBW DTC NNC CCB NNC,19
NNP LM VBAF CCB NNC,19
LM VBTS CCT JJD_CCP NNC,19
LM VBTS RBW DTC,19
DTC NNC CCB PRI_CCP NNC,19
PMS CDB NNC_CCP,19
VBW DTC NNC_PMC,19
CCP VBOF CCB NNC,19
NNP CCB NNP CCT NNP_PMC,19
NNC LM VBTR CCB NNC,19
CCP VBTF CCT NNC CCB,19
VBTS CCT JJN_CCP NNC,19
CCB NNC_CCP NNC CCT,19
DTC CDB CCP DTCP,19
RBI_CCP PMS CDB CCP,19
DTP NNP CCA DTC,19
CCP VBTS CCB NNC CCT,19
RBI DTC JJD_CCP,19
NNP LM VBTS CCT PRI_CCP,19
JJD CCP NNC CCP VBTR,19
NNP CCT NNC_PMP,19
NNC DTC DTCP NNC CCB,19
VBOF DTC NNP CCT,18
RBI_CCP NNC DTC,18
CCT NNP CDB_PMP,18
VBAF DTC NNC CCB,18
VBTS DTC NNC_PMP,18
VBAF CCB NNC CCP,18
NNC CCT CCT NNC CCB NNP,18
NNC CCT NNC CCB NNP_PMC,18
NNP CCB JJD_CCP,18
NNC CCR CCT NNC CCB,18
DTC NNP LM VBH,18
PMS FW CCP NNC,18
CCB NNC CCT NNC_CCP,18
CCB NNP LM VBTS CCP DTC,18
CCT JJD_CCP NNC CCA,18
PRI CCB NNC CCT,18
NNC DTC JJD CCP,18
NNP CCP NNC LM,18
VBTS CCB DTCP NNC CCB NNP,18
LM RBF VBTS CCT,18
CCB DTCP NNC CCA NNC,18
CCT JJD CCP NNC CCB NNC,18
DTP NNP DTC PRSP_CCP NNC,18
CCB PRI_CCP JJD CCP NNC,18
DTC PRI_CCP JJD CCP,18
NNC CCB NNP NNP LM VBTS,18
NNP NNP LM VBTR CCB,18
PRI CCT PRSP LM,18
CCA NNC CCB NNC CCT,18
DTP NNP CCP VBOF,18
NNC RBW_CCP CDB_PMC,18
CDB NNC CCT NNC CCB,18
CCB PRI_CCP NNC CCT NNC CCB,18
CCB PRSP_CCP NNC CCA,18
PRI_CCP NNC CCB NNC CCA,18
PRO LM VBTR CCB,18
VBW CCB DTCP NNC CCT,18
CCB NNP CCT NNC CCB NNP,18
DTC DTCP NNC LM VBTS CCP,18
NNC CCB NNC CCT CCT DTCP,18
NNP LM RBF RBI,18
CDB PMS NNC_CCP NNC,18
NNC CCB PRSP_CCP NNC CCT,18
NNC RBL CCT PRI_CCP,18
CCT DTC NNC CCB,18
CCT NNC CCB NNP NNP CCT,18
VBTS PRS CCP DTC NNC,18
JJD CCP VBTR CCT,18
NNC CCT VBTF CCP,18
VBTS DTP NNP DTC PRSP_CCP,18
CCB VBOF DTC NNC CCB,18
PRI_CCP NNC CCT CCT NNC,18
DTC NNC CCB VBW,18
CCB NNC CCT NNC CCB DTCP,18
CCB DTCP NNC DTC DTCP,18
DTC JJD_CCP NNC_PMC,18
PRI CCB DTCP NNC LM,18
NNC LM VBW CCT,18
NNPA CCT PRI_CCP,18
PRI_CCP DTCP NNC CCT,18
NNP RBW_CCP NNC,18
DTC NNC CCT PRSP_CCP,18
DTC DTCP JJD_CCP NNC LM,18
RBW_CCP NNP CCB RBW,18
JJN PMS CDB CCP NNC,18
RBL CCT NNC CCA,18
CCB NNC DTC PRSP_CCP,18
DTP NNP NNP CCT NNC CCB,18
NNC PMS JJD CCP,18
LM VBH JJD_CCP,18
DTCP NNC_CCP RBI_CCP,18
PRI CCB NNC CCP,18
LM JJD CCT NNC CCB,18
RBL CCT JJD CCP,18
CCB NNP CCP DTP NNP NNP CCP,18
PRI CCB NNC LM,18
VBOF DTC DTCP NNC CCP,18
RBD_CCP VBOF CCB,18
NNC CCT DTCP NNC_PMC,18
CCT NNC_CCP PRO_PMC,18
NNC CCT JJN PMS CDB,18
LM VBTR CCP VBW,18
VBTR_VBAF CCT JJD_CCP,18
CCB JJN_CCP JJD_CCP,18
CCP VBTS CCT PRSP_CCP,18
JJD CCP VBTS CCB,18
CCB PRQ_CCP DTCP,18
NNC CCB NNPA CCA,18
CCB DTCP NNP_CCP,18
CCB JJD_CCP FW,18
CCB NNP LM VBTS CCB NNC,18
DTC NNC CCB NNC CCP DTP,18
LM VBTS CCR CCT,18
RBI DTC NNC LM,18
NNC LM RBD_CCP VBW,18
CCP DTC NNC CCB NNP LM,18
DTC NNC CCT JJD_CCP,18
CCP PRO LM RBF,18
NNP CCT NNC CCP CDB,18
JJD CCP NNC DTP NNP,18
DTC DTCP NNC CCP PRO,18
CCB NNP CCT DTCP,18
CCB CDB CCP NNC CCT,18
PMS NNC CCB PRI_CCP,18
VBTS CCT NNC CCB NNP NNP,18
LM VBTS CCB NNC CCB NNC,18
CCB NNC CCB DTCP NNC CCT,18
DTC CCR PMS FW,18
CCP NNC CCA VBTS,18
LM VBTS CCP DTC NNP,18
VBTS CCB NNC DTC NNC,18
NNC CCP NNC CCT NNC CCB,18
CCT NNC CCA DTC,18
VBTF CCP NNC CCB,18
CCA DTC DTCP NNC CCB,18
CCB DTCP NNC DTC NNC,18
NNC LM VBTS DTC NNC,18
DTC JJC_CCP NNC,18
CCT NNC LM RBF,18
DTC NNC CCB NNP CCB NNP,18
DTCP NNC LM RBM,18
VBTR CCT NNC CCB NNP,18
DTP NNP NNP CCA DTC,18
DTCP NNC LM VBTR CCB,18
PMS NNC_CCP DTCP NNC,18
NNC CCB FW CCA,18
NNC LM VBTS RBW_CCP NNP,18
CCR CCT PRSP_CCP NNC,18
PRS CCT PRSP_CCP,18
CCP PRO LM VBTF,18
DTC NNC_PMP_PMS,18
NNC RBW_CCP JJD_CCP,18
JJD DTC NNC CCT,18
NNC CCT NNC_CCP PRO,18
PRI_CCP JJD CCP NNC CCP,18
VBTR CCT DTCP NNC CCP,18
CCP VBTS CCB NNC CCB,18
CCB NNC_CCP RBI_CCP,18
LM RBW_CCP VBTS,18
CCT CCR PMS NNC CCT,18
RBW VBW DTC NNC,18
CCT NNP_PMP_PMS,18
NNC CCP VBH JJD CCP,18
NNP LM VBTS CCB NNC CCB,18
JJD CCB NNC LM,18
VBAF DTC NNC CCT,18
CCP VBTR DTC DTCP,18
DTCP NNC_CCP JJD CCP,18
CCT DTCP NNC CCP VBH,18
NNC CCA VBAF CCB,18
NNCA PMS PRI_CCP,18
NNC CCT NNC CCB NNP CCA NNP,18
LM VBTS RBW CCT,18
NNC CCB JJD CCP NNC CCT,18
DTP NNP CCT PRI_CCP,18
CCB NNC CCA DTCP NNC,18
CCP NNC CCA DTC,18
PRI_CCP NNC CCP VBAF,18
JJN CCP NNC CCB,18
VBAF CCT DTCP NNC CCB,18
DTC PRI CCB DTCP NNC,18
CCB NNP NNP RBW_CCP,18
RBI_CCP PMS NNC_CCP,18
CCB JJD CCP NNC CCB NNC,18
DTC NNC CCB JJD CCP,18
NNP CCT NNP RBW_CCP,18
VBTS CCP PRO LM,18
PMS CDB CCP NNC CCT,17
PRI_CCP JJD_CCP NNC CCT NNC,17
CCB NNC CCT NNPA,17
DTCP JJD_CCP NNC LM VBTS,17
DTC DTCP VBTS CCP,17
VBTS CCB PRI_CCP NNC CCT,17
CCT CDB CCP NNC_PMP,17
VBH DTCP JJD_CCP,17
CCP DTC JJD_CCP NNC LM,17
NNC DTC VBTF CCT,17
CCB NNC CCP DTC NNC,17
CDB CCP NNC CCB NNC,17
CCB NNP NNP CCT NNC,17
PMS NNC_CCP NNP,17
PRSP_CCP JJD CCP NNC,17
VBH JJN_CCP NNC,17
DTCP NNC CCT PRI_CCP NNC,17
CCT NNP CCB NNP LM,17
CCP VBTS PMS NNC CCB,17
NNC LM VBTR CCT NNC,17
CCB NNC CCP VBTF,17
CCT VBW DTC DTCP,17
CCP VBAF CCB NNC CCT,17
FW LM VBTS CCB,17
VBTF CCP NNC_PMP,17
VBTF DTC NNC CCT,17
JJD_CCP NNP CCB NNP,17
VBTR CCB PRI_CCP NNC,17
NNC CCT NNP DTC,17
JJD_CCP NNC CCB NNC CCB NNC,17
CCB DTCP NNC_CCP NNP,17
CCT JJD CCP NNC_CCP,17
PMS_ PRS LM,17
NNC LM VBTF CCB NNC,17
CCT NNC CCP VBTR CCB,17
DTCP NNC_CCP JJD CCT,17
VBOF DTC PRI_CCP NNC,17
VBTS CCB NNC RBL CCT,17
CCA DTC PRSP_CCP NNC LM,17
NNC DTC VBTS RBW,17
NNC CCP VBAF CCT NNC,17
DTP NNP LM VBTS_CCP,17
VBTS PMS NNC CCB NNC,17
NNC CCT NNC CCA NNC CCB,17
CCT NNC CCT NNP_PMP,17
CCT NNP CCP DTP NNP NNP,17
CDB NNC DTC VBTS CCT,17
NNC CCB NNC LM RBM,17
NNP CCT NNC_PMC,17
RBF JJD CCP NNC,17
CCT NNP_CCP NNP_PMP,17
DTC NNC CCT NNC_CCP,17
JJD_CCP NNC LM VBTF,17
CCP NNC CCP VBTS CCB,17
LM VBTR CCB NNC CCB,17
NNP LM JJD CCT,17
NNC RBW_CCP NNP_PMC,17
CCP NNC DTP NNP NNP,17
DTCP VBTR CCT NNC,17
CCB RBF JJD_CCP,17
DTC JJN_CCP JJD_CCP NNC,17
PRS DTC DTCP NNC,17
NNC LM VBTS CCA,17
DTC CDB NNC_CCP NNC,17
NNC CCB DTCP NNC CCT NNP,17
CCB NNC CCB VBOF DTC,17
CCT NNC CCB NNC CCT DTCP,17
VBTS CCP DTC DTCP NNC LM,17
CCB NNP CCB NNP LM VBTS,17
CDB PMS CCB NNC,17
VBTS CCB PRI_CCP NNC CCP,17
CCP VBH NNC CCT NNC,17
JJD_CCP NNC CCR,17
DTC PRSP_CCP JJD_CCP NNC,17
LM VBTS CCP RBF,17
NNC CCT NNC CCP VBH,17
JJD_CCP NNC CCP NNP,17
PRI CCB PRSP_CCP,17
DTC JJD_CCP NNC CCB DTCP,17
DTCP NNC LM RBD_CCP,17
CCT CDB CCP DTCP NNC,17
CCR CCT NNC_PMP,17
DTC NNP CCB NNP CCP DTP NNP,17
PRQ_CCP NNC_PMP,17
PRSP_CCP JJD_CCP NNC CCT,17
VBTS CCB CDB CCP,17
CCT NNC_CCP PMS,17
LM PRI_CCP JJD CCP,17
DTC NNP CCB NNP CCP DTP,17
JJD_CCP CCR PMS NNC,17
DTC NNC CCB NNC CCP DTP NNP,17
JJN_CCP NNC CCT NNP,17
NNC DTC JJD_CCP NNC,17
DTCP JJD CCP NNC_PMP,17
CCP VBTS CCT NNC CCB NNC,17
VBTS PRS CCT NNC,17
CCB VBW PMS NNC,17
NNP NNP LM VBTR CCP,17
CCB NNP DTC NNC CCT,17
CCA DTCP NNC CCB NNC,17
PRI_CCP CCR PMS NNC,17
VBTR CCT NNP_PMC,17
NNC_CCP VBAF CCB,17
RBL CCT JJD_CCP,17
NNC CCT VBW DTC NNC,17
DTC PRSP_CCP NNC CCT NNC CCB,17
DTC DTCP NNC PMS NNC,17
CCB DTCP NNP_PMP,17
CCP NNC CCB NNP CCP,17
DTP NNP NNP LM VBTS CCB NNC,17
RBL JJD CCP NNC,17
NNC CCB PRI_CCP JJD,17
NNC CCB NNPA DTC,17
NNC CCT NNC CCB JJD,17
NNP CCB DTCP NNC,17
NNC CCT NNP PMS,17
DTC PRSP_CCP JJD,17
CCP NNC CCT NNP_PMP,17
DTCP NNC CCT JJD CCP,17
RBI PRS CCP DTC,17
VBH CDB CCP NNC,17
DTC VBTS CCB DTCP,17
VBTR_VBAF CCB NNC CCT,17
DTC NNC CCB DTCP NNC_CCP,17
DTC DTCP NNC_CCP PRO LM,17
CCT NNC CCT PRI_CCP NNC,17
CCB NNP LM VBTF,17
NNC CCB NNP CCB NNP_CCP,17
VBTR CCP DTP NNP,17
CCB NNC CCP NNP NNP,17
CCB DTCP JJD_CCP NNC CCB,17
NNP LM VBN_CCP,17
CCT NNC_CCP PRO_PMP,17
NNC LM VBTS VBW,17
DTC NNC RBK RBQ,17
CCT NNC CCB JJD_CCP NNC CCB,17
NNC CCB NNC CCP JJD,17
NNC CCT NNC CCB JJN_CCP NNC,17
JJD CCB JJD_CCP NNC,17
CCB PRSP_CCP NNC CCT NNC,17
FW NNP LM VBTS,17
DTC NNC CCP DTP NNP NNP,17
NNC CCB JJN_CCP NNC CCT,17
NNC CCB JJN_CCP NNC CCP,17
NNC CCT PRI_CCP NNC_PMC,17
CDB CCP DTCP NNC DTC,17
VBTS CCB DTCP NNC CCB NNC,17
JJD_CCP NNC CCT CCT NNC CCB,17
DTCP NNC RBL CCT NNC,17
NNC CCP PRO CCT,17
CCT DTCP NNC CCB DTCP NNC,17
LM VBTS RBI CCB NNC,17
DTP NNP CCT NNC CCB,17
VBTS_CCP VBAF CCT,17
DTCP NNC CCT NNC_CCP,17
CCB DTC PRI_CCP,17
NNP CCB NNPA CCP,17
NNP NNP LM VBTR_VBAF,17
JJN_CCP PMS NNC_CCP,17
RBI CCB NNC CCP,17
PRSP_CCP PMS NNC,17
NNPA DTC NNC CCB,17
PRQ_CCP NNC RBW,17
PRI_CCP NNC CCP VBTR CCB,17
DTC PRSP_CCP DTCP NNC LM,17
NNC CCB DTC DTCP,17
CCB JJCC CCT CDB,17
NNC CCP RBL CCT,17
LM VBTS JJD CCT,17
NNC CCT PRI_CCP JJD_CCP,17
JJD_CCP NNC CCB JJD_CCP,17
CCB NNC CCA NNC_PMP,17
NNC CCB NNC CCP VBOF,17
NNC CCB NNP CCA NNP LM,17
NNC CCP DTP NNP NNP NNP,17
VBTR_VBAF_CCP NNC,17
DTCP NNC CCP VBTF,17
NNP CCA VBTS CCT,17
PRI_CCP DTCP NNC LM,17
NNC LM VBOF DTC,17
CCP NNC CCB NNC CCB NNP,17
LM RBD CCP VBTR,17
PMS NNC RBW_CCP,17
NNP_CCP NNP LM VBTS,17
NNC CCT NNPA NNP,17
PRI_CCP JJD_CCP NNC_PMP,17
CCB NNP LM VBTR_VBAF,17
DTCP VBTR_CCP NNC,17
DTC NNC LM VBTR CCP,17
CCT NNC CCB DTCP NNC CCA,17
DTC NNC CCP JJD,17
CCB NNP CCP VBTR,17
NNC RBW_CCP NNP CDB_PMC,17
PMS_ PRP LM,17
VBTS DTC NNC CCB NNP,17
NNC CCB NNP CCB DTCP,17
CCT NNP NNP CCT NNC CCB,17
NNC CCB NNP CCT CCT,17
RBD_CCP VBTS CCB,17
CCT PRSP_CCP DTCP NNC CCT,17
VBTS CCB NNPA DTC,17
CCT NNC CCB NNC RBW,17
NNP CCB PRI_CCP,17
JJD_CCP NNC CCB NNC CCA,17
JJD PMS NNC CCB,17
VBH PRI_CCP NNC,17
VBN_CCP NNC CCB,17
NNC CCB VBW CCT,17
JJD CCB NNC CCB NNP,17
RBI DTC NNC CCT,17
CCB VBOF DTC DTCP NNC,17
VBS DTP NNP CCT,17
DTCP NNC CCT NNP_PMC,17
CCB NNC_CCP PRO,17
CCP DTC DTCP NNC LM VBTS,17
CCB NNC CCT JJD CCP NNC,17
CCA DTC NNP LM,17
VBOF PRS DTC NNC,17
NNC CCT CDB CCP,17
NNC CCP VBTS DTP NNP,17
CCT NNC CCP DTCP,17
CCT JJCC JJD_CCP,17
CCT DTCP NNC LM VBTS,17
RBW_CCP NNC LM,17
LM VBTR CCB NNC CCT,17
CCB NNP_CCP NNP CCA,17
VBTS CCB NNC CCA,17
LM VBH NNC CCP,17
DTC DTCP NNC CCT DTCP,17
LM RBF RBI VBTR,17
DTC JJD_CCP NNC_PMP,17
NNP NNP CCP NNC CCB,17
PRP CCP DTC NNC,17
VBTR DTC DTCP NNC CCT,17
DTC JJN_CCP NNC CCB NNC,16
PRI_CCP NNC CCB NNPA,16
CCT NNC CCP VBTS CCT,16
NNC CCT DTCP NNC LM,16
VBOF DTC NNC CCB NNC CCT,16
NNC CCB PRSP_CCP NNC_PMC,16
DTC RBW_CCP NNC CCB,16
PRQ_CCP NNC DTC,16
VBAF CCT JJD_CCP NNC,16
CCP NNC CCT NNP_PMC,16
CCB PRSP_CCP NNC LM,16
NNC CCB DTCP NNC CCT NNC CCB,16
DTCP NNC CCB PRSP_CCP,16
CCT NNC CCB NNP_CCP,16
DTC NNC CCT JJD,16
FW PMS NNC_CCP,16
DTC NNC PMS NNC CCB,16
CCB DTCP NNC CCB NNP CCP,16
NNP NNP NNP LM VBTS CCT,16
DTC DTCP NNC CCA NNC,16
NNC CCB NNP NNP NNP LM,16
DTP NNP DTC NNC CCT,16
DTCP NNC CCT DTCP NNC CCB,16
NNC_CCP DTP NNP,16
VBTR_VBAF CCT NNC CCP,16
LM VBOF DTC NNC CCB,16
VBTF CCT NNC CCP,16
DTP NNP NNP LM VBTR,16
PRO CCT PRI_CCP,16
CCP VBTS CCT PRSP,16
CCT CCR PMS VBTF,16
PRP DTC NNC CCT,16
CCR CCT JJD CCP NNC,16
NNP NNP CCP DTP NNP NNP_PMC,16
NNC CCP DTP NNP NNP CCP,16
NNP CCT JJD_CCP NNC CCB,16
NNP LM VBTS PMS NNC CCP,16
CCT NNC_CCP VBTR,16
LM VBTS CCT PRSP_CCP NNC,16
CCR PMS JJD CCB,16
LM VBTR_VBAF CCB NNC,16
RBR CCT DTCP NNC_PMC,16
VBTR CCT NNC LM,16
VBTS CCB JJN_CCP NNC CCT,16
JJD_CCP NNC CCT NNP NNP,16
PRQ_CCP DTCP NNC CCB,16
DTC DTCP NNC CCP VBTR,16
VBTS DTC JJD_CCP,16
CCB NNC CCT JJD_CCP NNC,16
CCT NNC CCT JJD_CCP NNC,16
DTC NNC CCB CDB,16
DTCP NNC LM VBOF,16
NNC PMS NNC CCB NNP,16
NNC CCP VBTR CCT DTCP,16
DTC CDB CCP NNC,16
NNC CCB NNC CCB PRI_CCP,16
CCA NNP NNP LM VBTS,16
CCB PRI_PMS NNCA,16
VBTS CCT NNP_PMP,16
CCB DTCP NNC CCP VBOF,16
DTP NNP CCP DTC DTCP,16
CCB CCR PMS NNC CCT,16
PRI_CCP NNC CCP VBOF,16
NNC CCB DTCP JJD CCP,16
NNC CCT JJD CCP NNC CCT,16
JJD_CCP NNC CCB PRI_CCP,16
DTC FW LM VBTS,16
NNP CCT NNC CCB DTCP,16
NNC LM VBTF RBI,16
NNC CCP VBTS LM,16
NNC CCB PRI CCT,16
DTC NNP CCA NNP LM,16
NNP RBK RBQ DTC,16
CCB NNP CCA NNP_PMC,16
NNP CCB NNP LM VBTS CCP,16
CCP VBTS PMS VBOF,16
NNC LM JJCS_CCP,16
NNC CCB NNP LM VBTS CCP,16
DTC NNC CCB NNP NNP CCP DTP,16
DTC DTCP NNC DTP,16
DTCP NNC_CCP RBF,16
VBTS CCT NNC DTC,16
NNP NNP DTC NNC CCB,16
CCB NNP CCT NNC CCB NNC,16
NNC CCB VBOF DTC DTCP,16
JJD_CCP NNP_PMP,16
DTC NNC DTP NNP_PMC,16
VBAF CCB JJN_CCP,16
NNC CCA JJD CCP NNC,16
VBOF DTC NNC CCB DTCP NNC,16
NNC DTP NNP NNP CCP,16
NNC JJD CCT NNP,16
CCT PRSP_CCP NNC RBW_CCP,16
RBI_CCP NNC_PMC,16
CCB CDB NNC CCP,16
CCR DTC NNP LM,16
CCT PRSP_CCP JJD,16
VBTR CCB NNP DTC,16
CCA DTC NNC CCP,16
PRO DTC NNC CCB,16
LM VBTS CCP DTC DTCP NNC,16
PMS FW LM VBTS,16
DTC NNC CCB NNPA LM,16
NNP NNP CCT PRSP_CCP,16
VBW CCT JJD_CCP NNC,16
NNC LM RBM VBOF,16
NNC_CCP NNP LM VBTS,16
VBOF CCT PRI_CCP,16
LM RBF RBD_CCP,16
CCB NNC PMS NNC_CCP,16
VBTS PMS NNC CCT NNC,16
VBTS CCT JJD_CCP NNC CCB,16
VBTR DTC PRSP_CCP,16
CCP VBTS CCT NNP_PMC,16
NNC CCB FW PMS,16
PMS NNC_CCP NNC CCB,16
DTCP NNC LM VBTR CCT,16
NNC CCB NNC CCT PRSP_CCP,16
NNC CCT NNPA LM,16
VBAF CCT NNP_PMC,16
VBTR CCB DTCP NNC DTC,16
DTCP NNP LM VBTS,16
NNC CCP VBTS_PMP,16
JJD_CCP NNC CCP VBTS CCB,16
CCT JJN PMS CDB CCB,16
NNC LM VBTR RBI,16
CCP VBOF DTC DTCP NNC CCB,16
CCP VBTS DTP NNP NNP,16
JJD_CCP NNC CCT NNC CCT,16
NNP DTC VBAF CCT,16
CCP NNC CCT PRSP_CCP,16
NNC LM VBTS CCT JJD_CCP,16
VBAF CCB JJD CCP,16
JJN_CCP NNC CCB NNC_PMC,16
PRSP_CCP NNC CCT NNC CCT,16
CCA JJD_CCP NNC CCT,16
DTCP NNC CCB JJD,16
PRP LM VBTS CCB,16
DTC JJN_CCP NNP,16
CCB VBOF DTC PRSP_CCP,16
JJD CCT NNC_PMC,16
CCB VBW DTC DTCP,16
VBTS CCB JJD CCP NNC CCT,16
CCT NNP CCB DTCP,16
CDB NNC CCT NNP,16
NNC LM VBTF CCT NNC CCB,16
DTC DTCP JJD PMS,16
NNC CCT NNP CCB NNP CCT,16
LM VBAF CCT NNC CCT,16
CDB NNC RBL CCT,16
LM VBTS CCP DTP,16
VBTS CCT NNP RBW_CCP,16
NNP NNP CCT NNC CCB NNC,16
CCT CCR PMS JJD,16
CCB CDB NNC_PMP,16
NNP LM NNC CCB,16
NNP DTC PRI_CCP NNC,16
NNC CCT NNP CCA NNP,16
NNC CCP CDB_PMC,16
NNC CCB NNC CCR CCT,16
NNC_CCP JJD CCB NNC,16
NNC CCP VBTS RBW,16
NNP LM VBOF DTC NNC,16
JJD_CCP NNC CCB NNC_CCP,16
LM VBTS CCB NNC_CCP,16
CCT NNC CCP NNP,16
CCP DTP NNP LM VBTS,16
CCB NNP CCT NNP LM,16
NNC_CCP JJD CCT NNC CCB,16
NNC CCB NNP RBL,16
DTC NNC CCB NNP_PMP,16
VBTS CCB PRQ_CCP,16
CCT JJD CCB JJD_CCP,16
CDB CCB RBW CCT,16
LM VBTS CCP JJD,16
CCA DTCP JJD_CCP,16
VBN_CCP NNC_PMC,16
CCB NNC CCT CCT NNP,16
NNC CCB NNC RBW_CCP NNP,16
CCA DTC NNP CCB,16
LM VBTR CCP DTC DTCP,16
NNC CCB NNP NNPA,16
CCP NNC CCP DTP NNP NNP,16
PRP DTC NNC CCB,16
CCB NNP LM RBD_CCP,16
DTCP NNC CCT NNC CCB NNP,16
RBI_CCP PMS JJD,16
NNP CCT PRI_CCP NNC CCT,16
NNP DTC NNC_CCP,16
RBW CCT JJD CCP,16
CCT NNP LM VBTS CCP,16
NNP LM VBAF CCT NNP,16
NNC CCT JJD_CCP NNC_PMP,16
JJD CCT DTCP NNC CCB,16
CCT DTCP NNC CCT NNP,16
NNC CCB VBTR_CCP,16
NNP NNP LM VBTF CCT,16
DTC NNC CCT VBW,16
LM JJD CCP VBOF,16
NNP CCB NNP CCB NNP CCP DTP,16
PRI_PMS NNCA PMS PRI_CCP,16
NNC CCA VBOF DTC NNC,16
VBTR DTC DTCP NNC CCP,16
CCP DTPP NNP NNP CCA,16
CCB NNP_CCP NNP_PMP,16
LM VBAF CCB CDB,16
RBL CCT NNP_PMP,16
CCP NNC RBK RBQ,16
CCA VBAF CCB NNC,16
CCT JJD_CCP CCR,16
NNC CCB JJD CCP NNC_PMP,16
DTC NNC LM VBTR_VBAF CCT,16
NNC CCP DTC NNP LM,16
VBTF CCT JJD_CCP,16
NNC DTP NNP NNP CCA,16
CDB CCB NNP CCT,16
CCT JJD CCP DTCP NNC,16
CCT NNC CCP VBTF,16
LM VBTR RBI CCB,16
DTCP JJCS_JJD_CCP,16
NNC CCB DTCP NNC DTC,16
LM VBAF CCT DTCP NNC,16
CCB CDB CCP NNC_PMP,16
NNC JJC CCB NNP,16
JJD CCP NNC RBW_CCP,16
JJD DTC PRSP_CCP,16
CCB NNP LM VBAF CCT,16
RBW DTC DTCP NNC LM,16
CDB NNC_CCP NNC CCB,16
